Store,DayOfWeek,Date,Sales,Customers,Open,Promo,StateHoliday,SchoolHoliday,StoreType,Assortment,CompetitionDistance,CompetitionOpenSinceMonth,CompetitionOpenSinceYear,Promo2,Promo2SinceWeek,Promo2SinceYear,PromoInterval,IsClosedDay,Year,Month,WeekOfYear,Day,Weekday,IsWeekend,IsMonthStart,IsMonthEnd,CompetitionOpenMonths,Promo2DurationWeeks,IsPromoMonth,SalesLag_1,SalesLag_7,SalesLag_14,SalesLag_30,SalesRollingMean_7,SalesRollingStd_7,SalesRollingMean_30,SalesRollingStd_30,SalesLog,MonthSin,MonthCos,WeekdaySin,WeekdayCos
823,5,2013-06-28,4836,501,1,0,0,1,a,c,16210.0,11,2010,0,0,0,,False,2013,6,26,28,4,0,0,0,31,0,0,4457.0,7077.0,5263.0,5784.0,4152.0,2105.893792826848,4678.133333333333,2130.5930975027677,8.484049972822984,1.2246467991473532e-16,-1.0,-0.433883739117558,-0.9009688679024191
715,4,2014-03-27,4737,585,1,0,0,0,a,a,14810.0,6,2014,0,0,0,,False,2014,3,13,27,3,0,0,0,0,0,0,5561.0,6852.0,4877.0,4665.0,4436.714285714285,2582.038000900706,5130.5,2916.029832282008,8.463370384718731,1.0,6.123233995736766e-17,0.4338837391175582,-0.900968867902419
919,2,2013-12-17,9365,930,1,1,0,0,a,a,2620.0,0,0,1,45,2009,"Feb,May,Aug,Nov",False,2013,12,51,17,1,0,0,0,0,214,0,9976.0,5314.0,7978.0,0.0,5058.142857142857,2913.076176402495,4887.633333333333,2686.1578571136397,9.144841389743489,-2.4492935982947064e-16,1.0,0.7818314824680298,0.6234898018587336
590,5,2013-05-24,3344,330,1,0,0,1,d,c,4520.0,9,2010,1,31,2013,"Jan,Apr,Jul,Oct",False,2013,5,21,24,4,0,0,0,32,0,0,3713.0,5309.0,5744.0,3805.0,3220.1428571428573,2268.465445227341,3584.233333333333,2119.174687813927,8.11522197256233,0.4999999999999999,-0.8660254037844387,-0.433883739117558,-0.9009688679024191
445,4,2013-02-21,6657,1007,1,1,0,0,a,a,240.0,0,0,0,0,0,,False,2013,2,8,21,3,0,0,0,0,0,0,7413.0,5719.0,1534.0,8597.0,6685.428571428572,3429.871953739326,6254.433333333333,3350.7199399669244,8.80357441813497,0.8660254037844386,0.5000000000000001,0.4338837391175582,-0.900968867902419
827,1,2013-09-16,9590,1373,1,0,0,0,a,c,250.0,1,2005,0,0,0,,False,2013,9,38,16,0,0,0,0,104,0,0,0.0,12726.0,9397.0,13767.0,10814.57142857143,4814.128438154467,9605.633333333331,4596.583870083593,9.16858043772795,-1.0,-1.8369701987210294e-16,0.0,1.0
731,4,2015-04-23,7090,813,1,0,0,0,a,a,15270.0,0,0,1,10,2014,"Jan,Apr,Jul,Oct",False,2015,4,17,23,3,0,0,0,0,59,1,6983.0,10816.0,7588.0,6928.0,7065.428571428572,3580.463231535979,7459.366666666667,4446.372279412336,8.866581653303996,0.8660254037844387,-0.4999999999999998,0.4338837391175582,-0.900968867902419
769,2,2014-05-27,10528,3172,1,0,0,0,b,b,840.0,0,0,1,48,2012,"Jan,Apr,Jul,Oct",False,2014,5,22,27,1,0,0,0,0,78,0,10605.0,11147.0,10881.0,9662.0,10575.57142857143,1249.4461249080027,11528.8,1409.4771199718286,9.26188863385676,0.4999999999999999,-0.8660254037844387,0.7818314824680298,0.6234898018587336
891,5,2013-01-11,7170,1032,1,1,0,0,a,c,350.0,0,0,1,31,2013,"Feb,May,Aug,Nov",False,2013,1,2,11,4,0,0,0,0,0,0,7860.0,7123.0,,,6974.142857142857,3379.672539787025,6370.0,3573.817131428088,8.877800393882575,0.4999999999999999,0.8660254037844387,-0.433883739117558,-0.9009688679024191
696,5,2014-07-25,5843,799,1,0,0,1,a,c,430.0,0,0,0,0,0,,False,2014,7,30,25,4,0,0,0,0,0,0,5315.0,7970.0,7849.0,6261.0,5231.142857142857,2510.1431850641093,6511.533333333334,3075.767756504717,8.67317077287059,-0.4999999999999998,-0.8660254037844388,-0.433883739117558,-0.9009688679024191
10,5,2014-09-12,5471,594,1,0,0,0,a,a,3160.0,9,2009,0,0,0,,False,2014,9,37,12,4,0,0,0,60,0,0,4512.0,5391.0,5266.0,4791.0,4247.571428571428,1932.8984157772773,4295.866666666667,1868.7643664922712,8.607399459302387,-1.0,-1.8369701987210294e-16,-0.433883739117558,-0.9009688679024191
317,2,2015-03-31,7220,629,1,1,0,1,d,a,3140.0,7,2013,1,14,2011,"Jan,Apr,Jul,Oct",False,2015,3,14,31,1,0,0,1,20,208,0,7822.0,4040.0,5227.0,0.0,4599.571428571428,2461.873599323814,4455.5,2244.171850171784,8.884748726451182,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336
1011,6,2013-10-12,7016,976,1,0,0,0,a,c,490.0,9,2012,1,18,2011,"Feb,May,Aug,Nov",False,2013,10,41,12,5,1,0,0,13,127,0,7287.0,7206.0,6447.0,8390.0,7380.857142857143,3589.3912403345685,5999.266666666666,3086.7738200412364,8.85609105525229,-0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146
983,4,2013-02-07,11569,1504,1,1,0,0,a,a,40.0,3,2014,1,1,2014,"Jan,Apr,Jul,Oct",False,2013,2,6,7,3,0,0,0,0,0,0,13986.0,10084.0,12335.0,12435.0,11090.285714285714,5448.590726487163,9482.733333333334,4385.129140813209,9.356170820187725,0.8660254037844386,0.5000000000000001,0.4338837391175582,-0.900968867902419
938,4,2015-02-19,9512,992,1,1,0,0,a,a,2820.0,9,2009,0,0,0,,False,2015,2,8,19,3,0,0,0,65,0,0,10280.0,7956.0,8846.0,7882.0,8274.714285714286,4034.8015529178874,7818.366666666667,3490.391673341741,9.160414563206457,0.8660254037844386,0.5000000000000001,0.4338837391175582,-0.900968867902419
187,2,2013-03-12,5922,853,1,0,0,0,a,c,19360.0,0,0,0,0,0,,False,2013,3,11,12,1,0,0,0,0,0,0,4873.0,8174.0,5307.0,0.0,5238.857142857143,2756.1744882216376,4889.566666666667,2564.312217842186,8.686598356276965,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336
251,7,2014-08-03,0,0,0,0,0,0,a,c,340.0,0,0,0,0,0,,True,2014,8,31,3,6,1,0,0,0,0,0,15126.0,0.0,0.0,16344.0,14867.285714285714,6630.550372185947,14264.5,5825.716997459005,0.0,-0.8660254037844384,-0.5000000000000004,-0.7818314824680299,0.6234898018587334
540,5,2013-09-20,3235,274,1,0,0,0,d,c,810.0,0,0,1,48,2012,"Jan,Apr,Jul,Oct",False,2013,9,38,20,4,0,0,0,0,42,0,3143.0,5494.0,3357.0,3174.0,3305.8571428571427,1666.5698733797958,3918.4666666666662,2136.4646067959916,8.082093278178382,-1.0,-1.8369701987210294e-16,-0.433883739117558,-0.9009688679024191
40,3,2013-06-12,4012,592,1,0,0,0,a,a,180.0,0,0,1,45,2009,"Feb,May,Aug,Nov",False,2013,6,24,12,2,0,0,0,0,187,0,3882.0,4860.0,4999.0,5980.0,4016.428571428571,1868.86452667057,4132.1,2229.189080175214,8.297294370266917,1.2246467991473532e-16,-1.0,0.9749279121818236,-0.2225209339563143
679,5,2015-03-06,11216,1243,1,1,0,0,a,a,4140.0,9,2012,0,0,0,,False,2015,3,10,6,4,0,0,0,30,0,0,11095.0,10283.0,10801.0,9742.0,9420.0,4471.105754359515,8550.166666666666,3712.7830632441537,9.325185763645225,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191
508,1,2015-07-06,5968,647,1,0,0,1,a,c,1280.0,0,0,1,40,2011,"Jan,Apr,Jul,Oct",False,2015,7,28,6,0,0,0,0,0,196,1,0.0,13455.0,5647.0,6556.0,8080.857142857143,4525.088781028561,6203.466666666666,3555.017209651671,8.69433468816865,-0.4999999999999998,-0.8660254037844388,0.0,1.0
617,3,2015-07-01,6661,554,1,1,0,0,a,c,8940.0,0,0,1,9,2011,"Jan,Apr,Jul,Oct",False,2015,7,27,1,2,0,1,0,0,226,1,10771.0,6013.0,7532.0,11094.0,5912.285714285715,3844.464753134723,5843.866666666667,3153.843716563295,8.804175018753625,-0.4999999999999998,-0.8660254037844388,0.9749279121818236,-0.2225209339563143
1043,5,2013-12-27,13453,2006,1,0,0,1,c,a,420.0,3,2006,0,0,0,,False,2013,12,52,27,4,0,0,0,93,0,0,0.0,17789.0,13084.0,7739.0,8170.0,8969.955462542723,10561.066666666668,6376.971413546979,9.507031738585551,-2.4492935982947064e-16,1.0,-0.433883739117558,-0.9009688679024191
423,2,2015-06-09,9038,1746,1,0,0,0,b,a,1270.0,5,2014,0,0,0,,False,2015,6,24,9,1,0,0,0,13,0,0,10646.0,11053.0,10802.0,14019.0,11979.714285714286,2306.659107474512,12040.0,2535.4676233321416,9.109303827798412,1.2246467991473532e-16,-1.0,0.7818314824680298,0.6234898018587336
28,5,2014-03-14,4635,566,1,0,0,0,a,a,1200.0,10,2014,1,6,2015,"Mar,Jun,Sept,Dec",False,2014,3,11,14,4,0,0,0,0,0,1,4679.0,6202.0,5137.0,4273.0,3594.0,1947.523726855905,4486.4,2564.9515368144653,8.441607204459642,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191
840,4,2014-06-12,7072,1080,1,0,0,0,a,a,1070.0,9,2009,0,0,0,,False,2014,6,24,12,3,0,0,0,57,0,0,7248.0,8585.0,0.0,7380.0,5235.142857142857,3810.271181450281,5841.766666666666,3396.8936284476868,8.86403999703599,1.2246467991473532e-16,-1.0,0.4338837391175582,-0.900968867902419
1052,5,2013-12-13,7657,810,1,0,0,0,a,c,5080.0,0,0,1,31,2013,"Feb,May,Aug,Nov",False,2013,12,50,13,4,0,0,0,0,19,0,7083.0,8278.0,8504.0,6141.0,6068.571428571428,2838.497716348262,6641.366666666667,3210.6842377774637,8.943506132037239,-2.4492935982947064e-16,1.0,-0.433883739117558,-0.9009688679024191
622,7,2015-02-22,0,0,0,0,0,0,a,c,113790.0,0,0,0,0,0,,True,2015,2,8,22,6,1,0,0,0,0,0,2387.0,0.0,0.0,4386.0,3841.285714285714,2000.6502038325532,3676.2,1763.6215951939591,0.0,0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334
211,1,2013-04-22,17789,1896,1,1,0,0,a,c,350.0,11,2006,0,0,0,,False,2013,4,17,22,0,0,0,0,77,0,0,0.0,10969.0,17789.0,11071.0,8901.0,3996.3221425038655,9766.7,6057.570055382117,9.786391780659882,0.8660254037844387,-0.4999999999999998,0.0,1.0
533,6,2015-02-21,6858,658,1,0,0,0,a,c,5950.0,0,0,0,0,0,,False,2015,2,8,21,5,1,0,0,0,0,0,11052.0,7345.0,7175.0,9188.0,8977.714285714286,4383.363994098815,9256.466666666667,4196.484347422365,8.83331693749932,0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146
240,1,2013-02-18,6166,546,1,1,0,0,a,a,1110.0,5,2009,0,0,0,,False,2013,2,8,18,0,0,0,0,45,0,0,0.0,4545.0,5697.0,3669.0,3381.5714285714284,1552.136898724127,3794.733333333333,1846.4335414491647,8.726967774991493,0.8660254037844386,0.5000000000000001,0.0,1.0
996,3,2014-02-05,7694,763,1,1,0,0,c,a,2870.0,7,2015,1,13,2010,"Jan,Apr,Jul,Oct",False,2014,2,6,5,2,0,0,0,0,201,0,8282.0,4988.0,6801.0,9388.0,5779.428571428572,3491.05747384862,5529.633333333333,2968.201318613027,8.94832604627298,0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.2225209339563143
539,3,2013-09-18,7251,839,1,0,0,0,a,a,770.0,5,2013,1,40,2014,"Jan,Apr,Jul,Oct",False,2013,9,38,18,2,0,0,0,4,0,0,8918.0,12409.0,8310.0,8312.0,8762.857142857143,4024.809164360935,8695.7,3696.020704058292,8.889032571874742,-1.0,-1.8369701987210294e-16,0.9749279121818236,-0.2225209339563143
525,3,2014-08-13,8547,775,1,0,0,1,d,c,1870.0,9,2013,0,0,0,,False,2014,8,33,13,2,0,0,0,11,0,0,8436.0,9050.0,10181.0,11859.0,7643.428571428572,3384.4528783415435,8267.166666666666,3509.536073902498,9.05345261643904,-0.8660254037844384,-0.5000000000000004,0.9749279121818236,-0.2225209339563143
48,4,2013-12-19,5252,548,1,1,0,1,a,a,1060.0,5,2012,0,0,0,,False,2013,12,51,19,3,0,0,0,19,0,0,5957.0,4411.0,5169.0,4862.0,4813.714285714285,2411.742227400885,4167.233333333334,1878.7960870678885,8.566554620953962,-2.4492935982947064e-16,1.0,0.4338837391175582,-0.900968867902419
946,2,2014-04-29,5540,646,1,1,0,0,a,a,2220.0,12,2011,1,14,2015,"Jan,Apr,Jul,Oct",False,2014,4,18,29,1,0,0,0,28,0,1,5846.0,4013.0,5355.0,0.0,3206.8571428571427,1753.727594636773,3409.766666666667,2228.75463421621,8.61993026886735,0.8660254037844387,-0.4999999999999998,0.7818314824680298,0.6234898018587336
1016,5,2014-04-25,4355,440,1,0,0,1,c,c,550.0,0,0,1,35,2010,"Mar,Jun,Sept,Dec",False,2014,4,17,25,4,0,0,0,0,190,0,3187.0,0.0,3921.0,3850.0,2152.0,2080.7807028452808,4136.0,2740.165461905664,8.37930948405285,0.8660254037844387,-0.4999999999999998,-0.433883739117558,-0.9009688679024191
411,3,2013-07-24,6248,550,1,0,0,1,d,c,8460.0,0,0,0,0,0,,False,2013,7,30,24,2,0,0,0,0,0,0,6887.0,9509.0,7256.0,6701.0,7084.714285714285,3345.560925280236,7690.933333333333,3743.0322295251976,8.740176729929082,-0.4999999999999998,-0.8660254037844388,0.9749279121818236,-0.2225209339563143
707,5,2015-02-27,10771,1118,1,0,0,0,a,c,2900.0,7,1990,0,0,0,,False,2015,2,9,27,4,0,0,0,295,0,0,7540.0,8541.0,9039.0,7140.0,5857.714285714285,2829.313680870655,7019.233333333334,3353.410890250502,9.28470545393149,0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191
853,4,2013-01-24,8407,936,1,1,0,0,a,a,14040.0,0,0,0,0,0,,False,2013,1,4,24,3,0,0,0,0,0,0,9472.0,5675.0,8658.0,,7098.571428571428,3753.6265511787774,6970.347826086957,3686.9477473514057,9.036938912556788,0.4999999999999999,0.8660254037844387,0.4338837391175582,-0.900968867902419
247,2,2014-07-22,6839,567,1,0,0,0,d,c,70.0,11,2010,1,5,2013,"Feb,May,Aug,Nov",False,2014,7,30,22,1,0,0,0,44,77,0,8535.0,10406.0,6203.0,0.0,7605.142857142857,3584.326967440863,6762.9,3686.348341259061,8.830543010616596,-0.4999999999999998,-0.8660254037844388,0.7818314824680298,0.6234898018587336
1100,6,2015-04-04,4900,580,1,0,0,0,a,a,540.0,0,0,1,14,2011,"Jan,Apr,Jul,Oct",False,2015,4,14,4,5,1,0,0,0,208,1,0.0,2859.0,2300.0,5690.0,4985.428571428572,3980.394907424086,4217.266666666666,2601.966655851087,8.497194544909547,0.8660254037844387,-0.4999999999999998,-0.9749279121818236,-0.2225209339563146
84,3,2015-07-22,11102,1254,1,0,0,1,a,c,11810.0,8,2014,0,0,0,,False,2015,7,30,22,2,0,0,0,11,0,0,11458.0,14569.0,12715.0,11570.0,10672.285714285714,4871.937797710656,11350.3,4983.102462149051,9.314970621054266,-0.4999999999999998,-0.8660254037844388,0.9749279121818236,-0.2225209339563143
256,3,2014-10-01,13178,1543,1,1,0,0,a,c,80.0,9,2005,1,10,2014,"Mar,Jun,Sept,Dec",False,2014,10,40,1,2,0,1,0,109,30,0,15097.0,6214.0,9073.0,14214.0,8829.714285714286,4949.976589651222,8167.0,3908.4093863149074,9.486379932643889,-0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.2225209339563143
526,5,2014-08-08,9628,1322,1,1,0,1,a,a,120.0,0,0,1,48,2011,"Mar,Jun,Sept,Dec",False,2014,8,32,8,4,0,0,0,0,140,0,11312.0,10639.0,8080.0,7701.0,9799.285714285714,5161.181089449908,9178.433333333332,4602.572688993767,9.172534657240284,-0.8660254037844384,-0.5000000000000004,-0.433883739117558,-0.9009688679024191
607,4,2015-01-22,2759,346,1,0,0,0,a,a,350.0,8,1999,1,14,2011,"Jan,Apr,Jul,Oct",False,2015,1,4,22,3,0,0,0,185,198,1,2815.0,4230.0,4052.0,5122.0,2516.8571428571427,1523.3610240267485,2705.733333333333,2211.676255122178,7.9229859587111955,0.4999999999999999,0.8660254037844387,0.4338837391175582,-0.900968867902419
711,7,2013-05-19,0,0,0,0,0,0,d,a,17110.0,3,2007,1,5,2010,"Jan,Apr,Jul,Oct",True,2013,5,20,19,6,1,0,0,74,171,0,6039.0,0.0,0.0,5983.0,6785.857142857143,3247.9592274006673,5846.233333333334,3181.9844456948017,0.0,0.4999999999999999,-0.8660254037844387,-0.7818314824680299,0.6234898018587334
304,2,2013-01-22,7442,1038,1,1,0,0,a,a,1950.0,7,2015,0,0,0,,False,2013,1,4,22,1,0,0,0,0,0,0,8352.0,5345.0,7285.0,,4788.0,2487.6255077215037,5025.9047619047615,2813.1851681814674,8.915029272359911,0.4999999999999999,0.8660254037844387,0.7818314824680298,0.6234898018587336
691,6,2013-12-14,10150,704,1,0,0,0,d,c,3030.0,0,0,1,37,2009,"Jan,Apr,Jul,Oct",False,2013,12,50,14,5,1,0,0,0,221,0,8423.0,8279.0,9934.0,6413.0,6495.0,2996.1288356811297,7605.066666666667,3533.0410553587685,9.225327501784433,-2.4492935982947064e-16,1.0,-0.9749279121818236,-0.2225209339563146
194,5,2014-08-29,4974,410,1,0,0,1,d,c,16970.0,0,0,1,5,2013,"Feb,May,Aug,Nov",False,2014,8,35,29,4,0,0,0,0,82,1,3994.0,5500.0,4523.0,6698.0,3463.5714285714284,1697.4690824030563,4112.6,1861.209406588203,8.512180649592693,-0.8660254037844384,-0.5000000000000004,-0.433883739117558,-0.9009688679024191
403,5,2014-09-05,7845,797,1,1,0,0,a,a,4970.0,7,2015,0,0,0,,False,2014,9,36,5,4,0,0,0,0,0,0,7856.0,7682.0,7200.0,7716.0,6888.428571428572,3348.889510327408,6008.333333333333,2761.5432134117,8.967759126769497,-1.0,-1.8369701987210294e-16,-0.433883739117558,-0.9009688679024191
230,1,2014-12-01,11952,1268,1,1,0,0,d,c,6680.0,9,2013,0,0,0,,False,2014,12,49,1,0,0,1,0,15,0,0,0.0,10038.0,7360.0,8330.0,8435.57142857143,3968.047078733766,6916.366666666667,3422.3251773524134,9.38873757187798,-2.4492935982947064e-16,1.0,0.0,1.0
509,1,2014-10-06,9094,665,1,1,0,0,a,a,4740.0,7,2008,1,37,2009,"Jan,Apr,Jul,Oct",False,2014,10,41,6,0,0,0,0,75,264,1,0.0,9470.0,4327.0,3911.0,5442.714285714285,4270.742352108733,4521.233333333334,2881.5075996995815,9.115480090952223,-0.8660254037844386,0.5000000000000001,0.0,1.0
138,4,2013-10-17,5942,706,1,0,0,0,a,c,25360.0,10,2014,0,0,0,,False,2013,10,42,17,3,0,0,0,0,0,0,6972.0,8616.0,0.0,5631.0,5773.142857142857,3150.096264591049,5521.7,3219.9132795133187,8.68996933536666,-0.8660254037844386,0.5000000000000001,0.4338837391175582,-0.900968867902419
108,6,2013-07-20,10024,859,1,0,0,0,d,c,2190.0,9,2003,0,0,0,,False,2013,7,29,20,5,1,0,0,118,0,0,10502.0,9807.0,9416.0,9184.0,9658.57142857143,4702.763118888832,8868.566666666668,3833.295131393858,9.21283725217477,-0.4999999999999998,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146
473,6,2014-07-12,2106,302,1,0,0,0,a,a,50.0,0,0,0,0,0,,False,2014,7,28,12,5,1,0,0,0,0,0,3184.0,2291.0,2007.0,3058.0,2301.8571428571427,1172.5868025540026,2821.4,1629.7079831506094,7.653020413804189,-0.4999999999999998,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146
102,5,2013-09-13,7668,1181,1,1,0,0,a,a,150.0,12,2007,1,10,2014,"Mar,Jun,Sept,Dec",False,2013,9,37,13,4,0,0,0,69,0,0,7803.0,3945.0,10777.0,8929.0,6462.571428571428,3802.892094934365,5512.533333333334,3038.805796898572,8.94494150776486,-1.0,-1.8369701987210294e-16,-0.433883739117558,-0.9009688679024191
136,1,2013-11-25,5842,397,1,0,0,0,a,c,2200.0,12,2010,1,22,2012,"Feb,May,Aug,Nov",False,2013,11,48,25,0,0,0,0,35,78,1,0.0,10084.0,3806.0,4851.0,5995.285714285715,3077.481747267058,4897.6,2854.2413401088215,8.672999642554437,-0.5000000000000004,0.8660254037844384,0.0,1.0
59,1,2014-08-11,5065,574,1,0,0,1,a,c,2840.0,6,2007,1,14,2011,"Jan,Apr,Jul,Oct",False,2014,8,33,11,0,0,0,0,86,175,0,0.0,7985.0,7326.0,2754.0,4696.571428571428,2738.834475778753,4422.066666666667,2577.872417769904,8.53030683056162,-0.8660254037844384,-0.5000000000000004,0.0,1.0
128,1,2013-12-02,11867,817,1,1,0,0,d,c,2000.0,0,0,1,1,2013,"Jan,Apr,Jul,Oct",False,2013,12,49,2,0,0,0,0,0,48,0,0.0,7728.0,9847.0,6506.0,6468.714285714285,3069.248643902153,5996.9,2941.321827529834,9.381600981410712,-2.4492935982947064e-16,1.0,0.0,1.0
286,3,2014-03-05,5967,503,1,1,0,0,a,a,1460.0,4,2015,0,0,0,,False,2014,3,10,5,2,0,0,0,0,0,0,5930.0,4097.0,5460.0,9497.0,4062.428571428571,2474.3707521403508,4257.633333333333,2434.4978308689774,8.694167141883597,1.0,6.123233995736766e-17,0.9749279121818236,-0.2225209339563143
362,5,2013-09-27,9579,1145,1,1,0,0,c,c,340.0,0,0,0,0,0,,False,2013,9,39,27,4,0,0,0,0,0,0,8292.0,6503.0,8980.0,14453.0,7135.571428571428,3314.8285454476104,7747.6,3726.8330051500648,9.167432870964909,-1.0,-1.8369701987210294e-16,-0.433883739117558,-0.9009688679024191
893,4,2013-09-26,5413,748,1,1,0,0,a,a,130.0,0,0,1,1,2013,"Jan,Apr,Jul,Oct",False,2013,9,39,26,3,0,0,0,0,38,0,6815.0,5466.0,5862.0,6642.0,5274.428571428572,2481.4271335357867,5093.733333333334,2223.662991293997,8.596743470174246,-1.0,-1.8369701987210294e-16,0.4338837391175582,-0.900968867902419
708,5,2014-08-29,0,0,0,0,0,1,c,c,11470.0,10,2009,1,18,2014,"Jan,Apr,Jul,Oct",True,2014,8,35,29,4,0,0,0,58,17,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8660254037844384,-0.5000000000000004,-0.433883739117558,-0.9009688679024191
811,6,2013-05-04,3709,666,1,0,0,0,a,a,410.0,9,2012,0,0,0,,False,2013,5,18,4,5,1,0,0,8,0,0,4646.0,3845.0,3558.0,3663.0,3598.4285714285716,2540.308042813106,3473.5666666666666,1755.4952868916655,8.21878715560148,0.4999999999999999,-0.8660254037844387,-0.9749279121818236,-0.2225209339563146
94,3,2014-11-05,8593,715,1,1,0,0,d,c,14620.0,0,0,0,0,0,,False,2014,11,45,5,2,0,0,0,0,0,0,9945.0,5056.0,7121.0,10163.0,6247.285714285715,5004.510089718598,5882.166666666667,3259.773083739309,9.05881956433494,-0.5000000000000004,0.8660254037844384,0.9749279121818236,-0.2225209339563143
466,6,2013-07-27,3821,351,1,0,0,0,a,c,3110.0,3,2003,0,0,0,,False,2013,7,30,27,5,1,0,0,124,0,0,6766.0,4465.0,4361.0,6627.0,4830.0,2255.002291203575,6492.833333333333,3471.6893441520465,8.248529124800218,-0.4999999999999998,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146
927,6,2013-02-23,3895,559,1,0,0,0,a,a,480.0,0,0,0,0,0,,False,2013,2,8,23,5,1,0,0,0,0,0,5801.0,4527.0,5385.0,6277.0,5804.428571428572,3169.5798279447513,5064.866666666667,2737.6992950075905,8.267705664762426,0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146
